class,n,source_only_acc,dan_acc,dann_acc,cdan_acc,dan_change,dann_change,cdan_change
dog,772,0.3225388601036269,0.5906735751295337,0.17487046632124353,0.6437823834196891,0.26813471502590674,-0.1476683937823834,0.32124352331606215
elephant,740,0.9337837837837838,0.7243243243243244,0.9972972972972973,0.75,-0.20945945945945943,0.06351351351351353,-0.1837837837837838
giraffe,753,0.702523240371846,0.5683930942895087,0.06640106241699867,0.7277556440903055,-0.1341301460823373,-0.6361221779548474,0.025232403718459473
guitar,608,0.868421052631579,0.8569078947368421,0.2631578947368421,0.9161184210526315,-0.011513157894736836,-0.605263157894737,0.047697368421052544
horse,816,0.5870098039215687,0.4889705882352941,0.07598039215686274,0.8370098039215687,-0.09803921568627455,-0.511029411764706,0.25
house,80,0.95,1.0,0.125,0.9625,0.050000000000000044,-0.825,0.012500000000000067
person,160,0.68125,0.71875,0.08125,1.0,0.03749999999999998,-0.6,0.31875
