class,source_only_acc,task2:dan_change,task3:dan_dg_change
dog,0.3225388601036269,0.26813471502590674,-0.05440414507772018
elephant,0.9337837837837838,-0.20945945945945943,-0.04729729729729726
giraffe,0.702523240371846,-0.1341301460823373,0.11819389110225764
guitar,0.868421052631579,-0.011513157894736836,-0.16611842105263164
horse,0.5870098039215687,-0.09803921568627455,0.16299019607843135
house,0.95,0.050000000000000044,0.012500000000000067
person,0.68125,0.03749999999999998,-0.4375
