class,n,erm_acc,dan_dg_acc,sam_acc,dan_dg_change,sam_change
dog,772,0.3225388601036269,0.26813471502590674,0.7992227979274611,-0.05440414507772018,0.47668393782383417
elephant,740,0.9337837837837838,0.8864864864864865,0.6743243243243243,-0.04729729729729726,-0.2594594594594595
giraffe,753,0.702523240371846,0.8207171314741036,0.5803452855245684,0.11819389110225764,-0.12217795484727756
guitar,608,0.868421052631579,0.7023026315789473,0.7615131578947368,-0.16611842105263164,-0.10690789473684215
horse,816,0.5870098039215687,0.75,0.4056372549019608,0.16299019607843135,-0.18137254901960786
house,80,0.95,0.9625,0.7,0.012500000000000067,-0.25
person,160,0.68125,0.24375,0.625,-0.4375,-0.05625000000000002
